English,Russian
you,ты
it,Это
and,и
that,который
of,из
is,является
in,в
what,Какие
we,мы
me,мне
this,это
he,он
for,за
my,мой
on,на
have,имеют
your,ваш
do,делать
was,был
no,нет
not,нет
be,быть
are,находятся
don,дон
re,репутация
know,знать
can,может
with,с
but,но
all,все
so,так
just,точный
there,там
here,здесь
they,Они
like,нравиться
ll,LL
get,получать
she,она
go,идти
if,если
right,правильно
out,вне
about,о
up,вверх
at,в
him,ему
now,сейчас
oh,ой
one,один
come,приехать
well,хорошо
her,ее
how,как
yeah,Да
ve,велосипед
will,воля
got,получил
want,хотеть
think,думать
as,в качестве
see,видеть
did,сделал
good,хороший
who,кто
why,Зачем
from,из
let,позволять
his,его
yes,да
when,когда
going,собирается
time,время
an,атмосфера
okay,хорошо
back,назад
look,смотрю
us,нас
would,было бы
them,их
where,куда
were,мы
take,брать
then,затем
had,имел
or,или
been,был
our,наш
gonna,собираюсь
tell,рассказать
really,В самом деле
man,человек
some,некоторые
say,сказать
hey,Привет
could,мог
d,дюймовый
didn,не
by,от
need,необходимость
something,что нибудь
has,имеет
too,слишком
more,более
way,способ
down,вниз
make,сделать
very,очень
never,никогда
only,Только
people,люди
over,над
because,так как
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,Извините
give,давать
off,выключенный
am,являюсь
thank,благодарить
any,Любые
two,два
even,четное
much,много
doing,делает
sure,Конечно
thing,предмет
these,эти
help,помощь
first,первый
into,в
anything,что-либо
still,все еще
find,найти
life,жизнь
nothing,ничего такого
sir,сэр
day,день
god,Бог
work,работай
their,их
uh,Эм-м-м
again,очередной раз
maybe,может быть
must,должен
before,до
other,Другой
wait,ждать
stop,останавливаться
call,вызов
after,после
won,выиграл
talk,разговаривать
away,прочь
than,чем
thought,подумал
home,дом
night,ночь
put,помещать
great,отличный
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,держать
long,длинный
years,годы
leave,оставлять
does,делает
money,Деньги
around,вокруг
doesn,не
name,название
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделанный
old,старый
isn,is
which,который
big,большой
lot,много
done,Выполнено
hello,Привет
nice,красивый
believe,полагать
girl,девочка
someone,кто то
fine,отлично
thanks,спасибо
wanted,в розыске
kind,Добрый
coming,приходящий
house,дом
every,каждый
ok,Хорошо
through,через
being,существование
course,курс
stay,оставаться
left,левый
dad,папа
enough,достаточно
happened,произошло
came,пришел
may,май
mother,мать
wrong,неправильный
world,Мир
bad,плохой
might,может быть
three,три
today,Cегодня
listen,Слушать
another,Другая
understand,понимать
hear,слышать
remember,воспоминание
ask,просить
own,своя
same,одно и тоже
show,Показать
else,еще
kill,убийство
talking,разговор
found,найденный
next,следующий
getting,получающий
care,уход
car,машина
looking,смотрящий
son,сын
try,пытаться
woman,женщина
went,пошел
hi,Привет
dead,мертвых
many,многие
mind,разум
wasn,был
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,все вместе
yourself,себя
job,работа
saw,пила
family,семья
real,настоящий
without,без
baby,ребенок
room,комната
wouldn,был бы
already,уже
move,шаг
most,наиболее
seen,видимый
live,прямой эфир
miss,Мисс
actually,фактически
huh,хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готовы
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,брат
also,также
pretty,красивая
bit,немного
took,взял
haven,приюта
yet,еще
men,люди
whole,весь
start,Начало
use,использовать
while,в то время как
since,поскольку
wife,жена
days,дни
guess,предполагать
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня ночью
everyone,каждый
